	fasta	scaffold	gene_position	start_position	end_position	strandedness	rank	ko_id	kegg_hit	peptidase_id	peptidase_family	peptidase_hit	peptidase_RBH	peptidase_identity	peptidase_bitScore	peptidase_eVal	pfam_hits	cazy_ids	cazy_hits	cazy_subfam_ec	cazy_best_hit	heme_regulatory_motif_count
CP101161.1_CP101161.1_3238	CP101161.1	CP101161.1	3238	3089256	3090668	1	C	K01679	fumarate hydratase, class II [EC:4.2.1.2]								Lyase [PF00206.23]; Fumarase C C-terminus [PF10415.12]					0
CP101161.1_CP101161.1_3239	CP101161.1	CP101161.1	3239	3090649	3091470	-1	E															0
CP101161.1_CP101161.1_3240	CP101161.1	CP101161.1	3240	3091657	3092079	1	D										Domain of unknown function (DUF4395) [PF14340.9]					0
CP101161.1_CP101161.1_3241	CP101161.1	CP101161.1	3241	3092120	3092782	1	C	K00588	caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]								O-methyltransferase [PF01596.20]; Methyltransferase domain [PF13578.9]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Mycolic acid cyclopropane synthetase [PF02353.23]					0
CP101161.1_CP101161.1_3242	CP101161.1	CP101161.1	3242	3092857	3094557	1	D										AMP-binding enzyme [PF00501.31]; AMP-binding enzyme C-terminal domain [PF13193.9]					0
CP101161.1_CP101161.1_3243	CP101161.1	CP101161.1	3243	3094667	3095629	1	D										tRNA synthetases class I (W and Y) [PF00579.28]					0
CP101161.1_CP101161.1_3244	CP101161.1	CP101161.1	3244	3095663	3096505	1	C	K07238	zinc transporter, ZIP family								ZIP Zinc transporter [PF02535.25]					0
CP101161.1_CP101161.1_3245	CP101161.1	CP101161.1	3245	3096546	3097439	1	E															0
CP101161.1_CP101161.1_3246	CP101161.1	CP101161.1	3246	3097464	3098255	1	C	K13075	N-acyl homoserine lactone hydrolase [EC:3.1.1.81]								Metallo-beta-lactamase superfamily [PF00753.30]; Beta-lactamase superfamily domain [PF12706.10]					0
CP101161.1_CP101161.1_3247	CP101161.1	CP101161.1	3247	3098271	3100793	-1	C	K07003	uncharacterized protein								MMPL family [PF03176.18]; Patched family [PF02460.21]; Sterol-sensing domain of SREBP cleavage-activation [PF12349.11]					0
CP101161.1_CP101161.1_3248	CP101161.1	CP101161.1	3248	3100794	3102746	-1	D										NPCBM-associated, NEW3 domain of alpha-galactosidase [PF10633.12]					0
CP101161.1_CP101161.1_3249	CP101161.1	CP101161.1	3249	3102853	3103572	-1	D										Sensory domain in DIguanylate Cyclases and Two-component system [PF10069.12]					0
CP101161.1_CP101161.1_3250	CP101161.1	CP101161.1	3250	3103792	3105717	1	C	K00174	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]								Pyruvate flavodoxin/ferredoxin oxidoreductase, thiamine diP-bdg [PF01855.22]; Pyruvate ferredoxin/flavodoxin oxidoreductase [PF01558.21]; Pyruvate:ferredoxin oxidoreductase core domain II [PF17147.7]					0
CP101161.1_CP101161.1_3251	CP101161.1	CP101161.1	3251	3105720	3106655	1	C	K00175	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]								Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]					0
CP101161.1_CP101161.1_3252	CP101161.1	CP101161.1	3252	3106657	3107313	-1	D										ubiE/COQ5 methyltransferase family [PF01209.21]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08241.15]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]; Methyltransferase domain [PF13489.9]; Methyltransferase domain [PF08242.15]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase small domain [PF05175.17]; Methionine biosynthesis protein MetW [PF07021.15]; 16S rRNA methyltransferase RsmB/F [PF01189.20]; tRNA methyltransferase complex GCD14 subunit [PF08704.13]; Ribosomal RNA adenine dimethylase [PF00398.23]					0
CP101161.1_CP101161.1_3253	CP101161.1	CP101161.1	3253	3107444	3107872	1	D										Winged helix-turn-helix DNA-binding [PF13412.9]; FaeA-like protein [PF04703.15]; DeoR-like helix-turn-helix domain [PF08220.15]; MarR family [PF01047.25]					0
CP101161.1_CP101161.1_3254	CP101161.1	CP101161.1	3254	3107973	3108509	1	D										Polyketide cyclase / dehydrase and lipid transport [PF03364.23]; Polyketide cyclase / dehydrase and lipid transport [PF10604.12]					0
CP101161.1_CP101161.1_3255	CP101161.1	CP101161.1	3255	3108577	3109131	1	D										Pyridine nucleotide-disulphide oxidoreductase [PF07992.17]; HI0933-like protein [PF03486.17]; Lycopene cyclase protein [PF05834.15]; Glucose inhibited division protein A [PF01134.25]; FAD binding domain [PF00890.27]					0
CP101161.1_CP101161.1_3256	CP101161.1	CP101161.1	3256	3109188	3110072	1	E															0
CP101161.1_CP101161.1_3257	CP101161.1	CP101161.1	3257	3110045	3110461	-1	D										Domain of unknown function DUF123 [PF01986.19]					0
CP101161.1_CP101161.1_3258	CP101161.1	CP101161.1	3258	3110554	3111423	1	D										Methyltransferase domain [PF13649.9]; Methyltransferase domain [PF08241.15]; Methyltransferase domain [PF13847.9]; Methyltransferase domain [PF13489.9]; ubiE/COQ5 methyltransferase family [PF01209.21]; Tellurite resistance protein TehB [PF03848.17]; Mycolic acid cyclopropane synthetase [PF02353.23]; Methyltransferase small domain [PF05175.17]; Thiopurine S-methyltransferase (TPMT) [PF05724.14]; Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT) [PF01135.22]					0
CP101161.1_CP101161.1_3259	CP101161.1	CP101161.1	3259	3111623	3113056	1	D										CHRD domain [PF07452.15]; Copper binding proteins, plastocyanin/azurin family [PF00127.23]					0
CP101161.1_CP101161.1_3260	CP101161.1	CP101161.1	3260	3113173	3114759	-1	C	K00135	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]								Aldehyde dehydrogenase family [PF00171.25]					0
CP101161.1_CP101161.1_3261	CP101161.1	CP101161.1	3261	3114834	3115664	-1	C	K03124	transcription initiation factor TFIIB								Transcription factor TFIIB repeat [PF00382.22]; TFIIB zinc-binding [PF08271.15]					0
CP101161.1_CP101161.1_3262	CP101161.1	CP101161.1	3262	3115924	3117651	1	D										MutS domain V [PF00488.24]					0
CP101161.1_CP101161.1_3263	CP101161.1	CP101161.1	3263	3118002	3119861	1	D										Bacterial extracellular solute-binding proteins, family 5 Middle [PF00496.25]					0
CP101161.1_CP101161.1_3264	CP101161.1	CP101161.1	3264	3119873	3123070	1	D										Cohesin domain [PF00963.21]; Dockerin type I domain [PF00404.21]					0
CP101161.1_CP101161.1_3265	CP101161.1	CP101161.1	3265	3123073	3128589	1	D			MER0068633	C40	MER0068633 - family C40 non-peptidase homologues (Methanosarcina barkeri) [C40.UNW]#C40#{peptidase unit: 171-861}~source YP_306945~	False	0.208	76.0	4.607e-12	PKD domain [PF18911.3]; PKD domain [PF00801.23]; Bacterial Ig-like domain (group 3) [PF13750.9]					0
CP101161.1_CP101161.1_3266	CP101161.1	CP101161.1	3266	3128640	3129833	-1	E															0
CP101161.1_CP101161.1_3267	CP101161.1	CP101161.1	3267	3130040	3130225	-1	E															0
CP101161.1_CP101161.1_3268	CP101161.1	CP101161.1	3268	3130266	3130562	-1	E															0
CP101161.1_CP101161.1_3269	CP101161.1	CP101161.1	3269	3131031	3131447	1	D										Acetyltransferase (GNAT) domain [PF13673.10]; Acetyltransferase (GNAT) family [PF00583.28]; Acetyltransferase (GNAT) domain [PF13508.10]					0
CP101161.1_CP101161.1_3270	CP101161.1	CP101161.1	3270	3131518	3131865	1	E															0
CP101161.1_CP101161.1_3271	CP101161.1	CP101161.1	3271	3131899	3132798	-1	C	K01055	3-oxoadipate enol-lactonase [EC:3.1.1.24]	MER0220062	S33	MER0220062 - family S33 non-peptidase homologues (Halalkalicoccus jeotgali) [S33.UNW]#S33#{peptidase unit: 10-276}~source YP_003737554~	False	0.509	252.0	2.0900000000000003e-73	Serine aminopeptidase, S33 [PF12146.11]; alpha/beta hydrolase fold [PF00561.23]; Alpha/beta hydrolase family [PF12697.10]; TAP-like protein [PF08386.13]; Prolyl oligopeptidase family [PF00326.24]; Esterase FrsA-like [PF06500.14]; Chlorophyllase enzyme [PF12740.10]; Esterase PHB depolymerase [PF10503.12]; Ndr family [PF03096.17]; Dienelactone hydrolase family [PF01738.21]; X-Pro dipeptidyl-peptidase (S15 family) [PF02129.21]					0
CP101161.1_CP101161.1_3272	CP101161.1	CP101161.1	3272	3132855	3134204	-1	D										Arylsulfotransferase (ASST) [PF14269.9]; Arylsulfotransferase (ASST) [PF05935.14]					0
CP101161.1_CP101161.1_3273	CP101161.1	CP101161.1	3273	3134324	3135508	-1	C	K00467	lactate 2-monooxygenase [EC:1.13.12.4]								FMN-dependent dehydrogenase [PF01070.21]; Conserved region in glutamate synthase [PF01645.20]; IMP dehydrogenase / GMP reductase domain [PF00478.28]					0
CP101161.1_CP101161.1_3274	CP101161.1	CP101161.1	3274	3135625	3135876	1	E															0
CP101161.1_CP101161.1_3275	CP101161.1	CP101161.1	3275	3135877	3136311	1	C	K07065	uncharacterized protein								PIN domain [PF01850.24]					0
CP101161.1_CP101161.1_3276	CP101161.1	CP101161.1	3276	3136319	3136900	-1	C	K01613	phosphatidylserine decarboxylase [EC:4.1.1.65]								Phosphatidylserine decarboxylase [PF02666.18]					0
CP101161.1_CP101161.1_3277	CP101161.1	CP101161.1	3277	3136938	3137204	-1	E															0
CP101161.1_CP101161.1_3278	CP101161.1	CP101161.1	3278	3137372	3137896	1	C	K07028	uncharacterized protein								AAA domain [PF13671.9]; AAA domain [PF13238.9]; Zeta toxin [PF06414.15]; Adenylylsulphate kinase [PF01583.23]; Chloramphenicol phosphotransferase-like protein [PF07931.15]; Adenylate kinase [PF00406.25]; Chromatin associated protein KTI12 [PF08433.13]					0
CP101161.1_CP101161.1_3279	CP101161.1	CP101161.1	3279	3137956	3138114	1	E															0
CP101161.1_CP101161.1_3280	CP101161.1	CP101161.1	3280	3138121	3139095	1	D										Copper binding proteins, plastocyanin/azurin family [PF00127.23]; Cytochrome C oxidase subunit II, periplasmic domain [PF00116.23]					0
CP101161.1_CP101161.1_3281	CP101161.1	CP101161.1	3281	3139097	3140857	1	D										Cytochrome C and Quinol oxidase polypeptide I [PF00115.23]					0
CP101161.1_CP101161.1_3282	CP101161.1	CP101161.1	3282	3140860	3141918	1	C	K02257	heme o synthase [EC:2.5.1.141]								UbiA prenyltransferase family [PF01040.21]					0
CP101161.1_CP101161.1_3283	CP101161.1	CP101161.1	3283	3141915	3142640	1	E															0
CP101161.1_CP101161.1_3284	CP101161.1	CP101161.1	3284	3142970	3144340	1	D			MER0053963	S08A	MER0053963 - subfamily S8A non-peptidase homologues (Halogeometricum borinquense) [S08.UNA]#S08A#{peptidase unit: 102-426}~source GEBA2500155485~	False	0.487	293.0	7.225000000000001e-85	Subtilase family [PF00082.25]					0
CP101161.1_CP101161.1_3285	CP101161.1	CP101161.1	3285	3144345	3144956	1	D										Helix-turn-helix domain [PF12840.10]; Bacterial regulatory protein, arsR family [PF01022.23]					0
CP101161.1_CP101161.1_3286	CP101161.1	CP101161.1	3286	3145037	3146311	-1	D										Protein of unknown function (DUF1565) [PF07602.14]					0
CP101161.1_CP101161.1_3287	CP101161.1	CP101161.1	3287	3146462	3147577	-1	E															0
CP101161.1_CP101161.1_3288	CP101161.1	CP101161.1	3288	3147776	3149416	-1	E															0
CP101161.1_CP101161.1_3289	CP101161.1	CP101161.1	3289	3149512	3150636	-1	D										Domain of unknown function (DUF4897) [PF16238.8]					0
CP101161.1_CP101161.1_3290	CP101161.1	CP101161.1	3290	3150708	3153758	-1	C	K00113	glycerol-3-phosphate dehydrogenase subunit C								FAD linked oxidases, C-terminal domain [PF02913.22]; FAD binding domain [PF01565.26]; 4Fe-4S dicluster domain [PF13183.9]; Cysteine-rich domain [PF02754.19]					0
CP101161.1_CP101161.1_3291	CP101161.1	CP101161.1	3291	3153843	3154196	1	D										Family of unknown function (DUF5518) [PF17647.4]					0
CP101161.1_CP101161.1_3292	CP101161.1	CP101161.1	3292	3154198	3154815	1	E															0
CP101161.1_CP101161.1_3293	CP101161.1	CP101161.1	3293	3154816	3156048	-1	E															0
CP101161.1_CP101161.1_3294	CP101161.1	CP101161.1	3294	3156101	3156583	-1	C	K00287	dihydrofolate reductase [EC:1.5.1.3]								Dihydrofolate reductase [PF00186.22]					0
CP101161.1_CP101161.1_3295	CP101161.1	CP101161.1	3295	3156580	3157578	-1	C	K00560	thymidylate synthase [EC:2.1.1.45]								Thymidylate synthase [PF00303.22]					0
CP101161.1_CP101161.1_3296	CP101161.1	CP101161.1	3296	3157668	3158654	1	D										Phosphotransferase enzyme family [PF01636.26]; Fructosamine kinase [PF03881.17]					0
CP101161.1_CP101161.1_3297	CP101161.1	CP101161.1	3297	3158888	3160291	1	D										Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]; PAS fold [PF08448.13]; PAS domain [PF13426.10]; PAS fold [PF00989.28]; His Kinase A (phospho-acceptor) domain [PF00512.28]; PAS fold [PF12860.10]					0
CP101161.1_CP101161.1_3298	CP101161.1	CP101161.1	3298	3160365	3160700	1	D										Auxin binding protein [PF02041.19]; Cupin [PF00190.25]					0
CP101161.1_CP101161.1_3299	CP101161.1	CP101161.1	3299	3160777	3162576	1	D										Citrate transporter [PF03600.19]; Sodium:sulfate symporter transmembrane region [PF00939.22]; TrkA-C domain [PF02080.24]					0
CP101161.1_CP101161.1_3300	CP101161.1	CP101161.1	3300	3162620	3163492	1	D										Mechanosensitive ion channel [PF00924.21]					0
CP101161.1_CP101161.1_3301	CP101161.1	CP101161.1	3301	3163655	3165085	1	D										Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
CP101161.1_CP101161.1_3302	CP101161.1	CP101161.1	3302	3165088	3165819	1	E															0
CP101161.1_CP101161.1_3303	CP101161.1	CP101161.1	3303	3165900	3166670	1	C	K01470	creatinine amidohydrolase [EC:3.5.2.10]								Creatinine amidohydrolase [PF02633.17]					0
CP101161.1_CP101161.1_3304	CP101161.1	CP101161.1	3304	3166677	3167111	-1	C	K07068	uncharacterized protein								DUF35 OB-fold domain, acyl-CoA-associated [PF01796.20]; Rubredoxin-like zinc ribbon domain (DUF35_N) [PF12172.11]					0
CP101161.1_CP101161.1_3305	CP101161.1	CP101161.1	3305	3167108	3168277	-1	D										Thiolase, N-terminal domain [PF00108.26]; Thiolase, C-terminal domain [PF02803.21]					0
CP101161.1_CP101161.1_3306	CP101161.1	CP101161.1	3306	3168362	3168589	-1	C	K07569	RNA-binding protein								Gar1/Naf1 RNA binding region [PF04410.17]					0
CP101161.1_CP101161.1_3307	CP101161.1	CP101161.1	3307	3168661	3169122	-1	E															0
CP101161.1_CP101161.1_3308	CP101161.1	CP101161.1	3308	3169115	3169561	-1	E															0
CP101161.1_CP101161.1_3309	CP101161.1	CP101161.1	3309	3169607	3169885	-1	C	K03105	signal recognition particle subunit SRP19								SRP19 protein [PF01922.20]					0
CP101161.1_CP101161.1_3310	CP101161.1	CP101161.1	3310	3169928	3171037	-1	E															0
CP101161.1_CP101161.1_3311	CP101161.1	CP101161.1	3311	3171205	3180228	1	D										Protein of unknown function (DUF1565) [PF07602.14]					0
CP101161.1_CP101161.1_3312	CP101161.1	CP101161.1	3312	3180288	3181013	1	C	K02003	putative ABC transport system ATP-binding protein								ABC transporter [PF00005.30]					0
CP101161.1_CP101161.1_3313	CP101161.1	CP101161.1	3313	3181006	3182208	1	E															0
CP101161.1_CP101161.1_3314	CP101161.1	CP101161.1	3314	3182205	3183428	1	E															0
CP101161.1_CP101161.1_3315	CP101161.1	CP101161.1	3315	3183539	3184339	-1	E															0
CP101161.1_CP101161.1_3316	CP101161.1	CP101161.1	3316	3184339	3185280	-1	E															0
CP101161.1_CP101161.1_3317	CP101161.1	CP101161.1	3317	3185280	3186920	-1	E															0
CP101161.1_CP101161.1_3318	CP101161.1	CP101161.1	3318	3187006	3188262	-1	E															0
CP101161.1_CP101161.1_3319	CP101161.1	CP101161.1	3319	3188553	3188945	1	D										Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily [PF00903.28]					0
CP101161.1_CP101161.1_3320	CP101161.1	CP101161.1	3320	3189075	3189536	-1	D										NUDIX domain [PF00293.31]; Domain of unknown function (DUF4916) [PF16262.8]					0
CP101161.1_CP101161.1_3321	CP101161.1	CP101161.1	3321	3189691	3192585	1	E															0
CP101161.1_CP101161.1_3322	CP101161.1	CP101161.1	3322	3192582	3194198	1	E															0
CP101161.1_CP101161.1_3323	CP101161.1	CP101161.1	3323	3194323	3194874	-1	C	K07038	inner membrane protein								LexA-binding, inner membrane-associated putative hydrolase [PF04307.17]					0
CP101161.1_CP101161.1_3324	CP101161.1	CP101161.1	3324	3195029	3195265	1	E															0
CP101161.1_CP101161.1_3325	CP101161.1	CP101161.1	3325	3195266	3196333	1	D										Domain of unknown function (DUF4350) [PF14258.9]					0
CP101161.1_CP101161.1_3326	CP101161.1	CP101161.1	3326	3196335	3196466	-1	E															0
CP101161.1_CP101161.1_3327	CP101161.1	CP101161.1	3327	3196682	3197728	1	C	K03924	MoxR-like ATPase [EC:3.6.3.-]								ATPase family associated with various cellular activities (AAA) [PF07726.14]; AAA domain (dynein-related subfamily) [PF07728.17]; AAA lid domain [PF17863.4]; MoxR domain in the MoxR-vWA-beta-propeller ternary systems [PF20030.2]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; Sigma-54 interaction domain [PF00158.29]; Magnesium chelatase, subunit ChlI [PF01078.24]; MCM P-loop domain [PF00493.26]					0
CP101161.1_CP101161.1_3328	CP101161.1	CP101161.1	3328	3197775	3198686	-1	E															0
CP101161.1_CP101161.1_3329	CP101161.1	CP101161.1	3329	3198683	3199096	-1	E															0
CP101161.1_CP101161.1_3330	CP101161.1	CP101161.1	3330	3199236	3200690	-1	D										Protein of unknown function DUF58 [PF01882.21]					0
CP101161.1_CP101161.1_3331	CP101161.1	CP101161.1	3331	3200811	3202817	1	E															0
CP101161.1_CP101161.1_3332	CP101161.1	CP101161.1	3332	3202859	3203896	1	D										Protein of unknown function (DUF1616) [PF07760.14]					0
CP101161.1_CP101161.1_3333	CP101161.1	CP101161.1	3333	3203966	3204391	1	D										Domain of unknown function (DUF4442) [PF14539.9]; Thioesterase superfamily [PF03061.25]					0
CP101161.1_CP101161.1_3334	CP101161.1	CP101161.1	3334	3204995	3207172	-1	D										Amino acid permease [PF13520.9]; Amino acid permease [PF00324.24]					0
CP101161.1_CP101161.1_3335	CP101161.1	CP101161.1	3335	3207169	3207654	-1	D										TrkA-N domain [PF02254.21]					0
CP101161.1_CP101161.1_3336	CP101161.1	CP101161.1	3336	3207869	3208348	1	D										Winged helix-turn-helix DNA-binding [PF13412.9]; HTH domain [PF08279.15]; FaeA-like protein [PF04703.15]					0
CP101161.1_CP101161.1_3337	CP101161.1	CP101161.1	3337	3208466	3209548	1	D										Cyclin M transmembrane N-terminal domain [PF01595.23]					0
CP101161.1_CP101161.1_3338	CP101161.1	CP101161.1	3338	3209626	3209892	-1	E															0
CP101161.1_CP101161.1_3339	CP101161.1	CP101161.1	3339	3210053	3210190	1	E															0
CP101161.1_CP101161.1_3340	CP101161.1	CP101161.1	3340	3210207	3212465	-1	E															0
CP101161.1_CP101161.1_3341	CP101161.1	CP101161.1	3341	3212472	3213200	-1	E															0
CP101161.1_CP101161.1_3342	CP101161.1	CP101161.1	3342	3213400	3215847	-1	C	K09822	uncharacterized protein								Probable inorganic carbon transporter subunit DabA [PF10070.12]					0
CP101161.1_CP101161.1_3343	CP101161.1	CP101161.1	3343	3215837	3217327	-1	D										Proton-conducting membrane transporter [PF00361.23]; NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus [PF00662.23]					0
CP101161.1_CP101161.1_3344	CP101161.1	CP101161.1	3344	3217697	3218713	1	D			MER0128413	M38	MER0128413 - family M38 non-peptidase homologues (Halomicrobium mukohataei) [M38.UNW]#M38#{peptidase unit: 41-307}~source GEBA2500519723~	True	0.792	434.0	1.316e-135	Amidohydrolase family [PF01979.23]; Adenosine deaminase [PF00962.25]; Amidohydrolase family [PF07969.14]					0
CP101161.1_CP101161.1_3345	CP101161.1	CP101161.1	3345	3218739	3219224	-1	D										Winged helix-turn-helix DNA-binding [PF13412.9]					0
CP101161.1_CP101161.1_3346	CP101161.1	CP101161.1	3346	3219351	3220076	-1	C	K07052	CAAX protease family protein	MER0937957	M79	MER0937957 - family M79 unassigned peptidases (Natronococcus occultus) [M79.UPW]#M79#{peptidase unit: 143-241}~source L0K2W7~	False	0.535	95.0	2.815e-20	Type II CAAX prenyl endopeptidase Rce1-like [PF02517.19]					0
CP101161.1_CP101161.1_3347	CP101161.1	CP101161.1	3347	3220198	3222588	1	D										Pentapeptide repeats (9 copies) [PF13576.9]; Pentapeptide repeats (9 copies) [PF13599.9]; Ion channel [PF07885.19]					0
CP101161.1_CP101161.1_3348	CP101161.1	CP101161.1	3348	3222648	3222779	-1	E															0
CP101161.1_CP101161.1_3349	CP101161.1	CP101161.1	3349	3222926	3223942	-1	E															0
CP101161.1_CP101161.1_3350	CP101161.1	CP101161.1	3350	3224757	3226061	-1	C	K07496	putative transposase								Putative transposase DNA-binding domain [PF07282.14]; Probable transposase [PF01385.22]					0
CP101161.1_CP101161.1_3351	CP101161.1	CP101161.1	3351	3226460	3226723	1	D										Halobacterial output domain 1 [PF18545.4]					0
CP101161.1_CP101161.1_3352	CP101161.1	CP101161.1	3352	3226837	3227322	-1	E															0
CP101161.1_CP101161.1_3353	CP101161.1	CP101161.1	3353	3227852	3228271	1	E															0
CP101161.1_CP101161.1_3354	CP101161.1	CP101161.1	3354	3228480	3229118	-1	E															0
CP101161.1_CP101161.1_3355	CP101161.1	CP101161.1	3355	3229171	3229311	-1	E															0
CP101161.1_CP101161.1_3356	CP101161.1	CP101161.1	3356	3229355	3230224	-1	C	K14055	universal stress protein E								Universal stress protein family [PF00582.29]					0
CP101161.1_CP101161.1_3357	CP101161.1	CP101161.1	3357	3230363	3231751	-1	C	K03699	magnesium and cobalt exporter, CNNM family								Cyclin M transmembrane N-terminal domain [PF01595.23]; Transporter associated domain [PF03471.20]					0
CP101161.1_CP101161.1_3358	CP101161.1	CP101161.1	3358	3231879	3232613	1	C	K07052	CAAX protease family protein	MER0936222	M79	MER0936222 - family M79 unassigned peptidases (Haloarcula argentinensis) [M79.UPW]#M79#{peptidase unit: 54-211}~source M0KZJ3~	False	0.545	161.0	9.244e-43	Type II CAAX prenyl endopeptidase Rce1-like [PF02517.19]					0
CP101161.1_CP101161.1_3359	CP101161.1	CP101161.1	3359	3232855	3233451	1	D										Respiratory-chain NADH dehydrogenase, 49 Kd subunit [PF00346.22]					0
CP101161.1_CP101161.1_3360	CP101161.1	CP101161.1	3360	3233454	3233741	1	E															0
CP101161.1_CP101161.1_3361	CP101161.1	CP101161.1	3361	3234431	3236362	-1	D										Pentapeptide repeats (9 copies) [PF13576.9]; Pentapeptide repeats (9 copies) [PF13599.9]; Ion channel [PF07885.19]					0
CP101161.1_CP101161.1_3362	CP101161.1	CP101161.1	3362	3236469	3236750	-1	E															0
CP101161.1_CP101161.1_3363	CP101161.1	CP101161.1	3363	3236948	3238174	1	C	K07496	putative transposase								Probable transposase [PF01385.22]; Putative transposase DNA-binding domain [PF07282.14]					0
CP101161.1_CP101161.1_3364	CP101161.1	CP101161.1	3364	3239473	3239802	-1	C	K07171	mRNA interferase MazF [EC:3.1.-.-]													0
CP101161.1_CP101161.1_3365	CP101161.1	CP101161.1	3365	3239803	3240180	-1	E															0
CP101161.1_CP101161.1_3366	CP101161.1	CP101161.1	3366	3240354	3240677	-1	E															0
CP101161.1_CP101161.1_3367	CP101161.1	CP101161.1	3367	3241012	3241929	-1	E															0
CP101161.1_CP101161.1_3368	CP101161.1	CP101161.1	3368	3242544	3243698	1	D										Protein of unknown function (DUF1214) [PF06742.14]; Protein of unknown function (DUF1254) [PF06863.15]					0
CP101161.1_CP101161.1_3369	CP101161.1	CP101161.1	3369	3243721	3244872	1	D										Protein of unknown function (DUF1214) [PF06742.14]; Protein of unknown function (DUF1254) [PF06863.15]					0
CP101161.1_CP101161.1_3370	CP101161.1	CP101161.1	3370	3244869	3245993	1	D										Protein of unknown function (DUF1214) [PF06742.14]; Protein of unknown function (DUF1254) [PF06863.15]					0
CP101161.1_CP101161.1_3371	CP101161.1	CP101161.1	3371	3246141	3247052	-1	D			MER0937057	M79	MER0937057 - family M79 unassigned peptidases (Haloquadratum walsbyi) [M79.UPW]#M79#{peptidase unit: 73-256}~source U1MPD4~	False	0.301	83.0	6.861e-16						0
CP101161.1_CP101161.1_3372	CP101161.1	CP101161.1	3372	3247560	3250058	1	C	K07003	uncharacterized protein								MMPL family [PF03176.18]					0
CP101161.1_CP101161.1_3373	CP101161.1	CP101161.1	3373	3250208	3251437	1	E															0
CP101161.1_CP101161.1_3374	CP101161.1	CP101161.1	3374	3252187	3255864	-1	D										Type IV secretion-system coupling protein DNA-binding domain [PF10412.12]; Type IV secretory system Conjugative DNA transfer [PF02534.17]					0
CP101161.1_CP101161.1_3375	CP101161.1	CP101161.1	3375	3255937	3256572	-1	E															0
CP101161.1_CP101161.1_3376	CP101161.1	CP101161.1	3376	3258578	3258808	1	D										Uncharacterised protein family (UPF0175) [PF03683.16]					0
CP101161.1_CP101161.1_3377	CP101161.1	CP101161.1	3377	3258805	3259335	1	E															0
CP101161.1_CP101161.1_3378	CP101161.1	CP101161.1	3378	3260093	3260917	1	E															0
CP101161.1_CP101161.1_3379	CP101161.1	CP101161.1	3379	3261174	3262559	1	C	K06921	uncharacterized protein								ATPase domain predominantly from Archaea [PF01637.21]; Archaea bacterial proteins of unknown function [PF03008.17]					0
CP101161.1_CP101161.1_3380	CP101161.1	CP101161.1	3380	3262838	3263458	1	D										Family of unknown function (DUF6735) [PF20509.1]					0
CP101161.1_CP101161.1_3381	CP101161.1	CP101161.1	3381	3264018	3264362	1	D										Domain of unknown function (DUF5615) [PF18480.4]					0
CP101161.1_CP101161.1_3382	CP101161.1	CP101161.1	3382	3264575	3265027	1	E															0
CP101161.1_CP101161.1_3383	CP101161.1	CP101161.1	3383	3265268	3265540	1	E															0
CP101161.1_CP101161.1_3384	CP101161.1	CP101161.1	3384	3265593	3265841	-1	D										Uncharacterised protein family (UPF0175) [PF03683.16]					0
CP101161.1_CP101161.1_3385	CP101161.1	CP101161.1	3385	3266036	3266983	1	C	K03124	transcription initiation factor TFIIB								Transcription factor TFIIB repeat [PF00382.22]; TFIIB zinc-binding [PF08271.15]					0
CP101161.1_CP101161.1_3386	CP101161.1	CP101161.1	3386	3267284	3267853	-1	E															0
CP101161.1_CP101161.1_3387	CP101161.1	CP101161.1	3387	3267850	3268218	-1	E															0
CP101161.1_CP101161.1_3388	CP101161.1	CP101161.1	3388	3268502	3268798	-1	D										Helix-turn-helix domain [PF12840.10]; Bacterial regulatory protein, arsR family [PF01022.23]					0
CP101161.1_CP101161.1_3389	CP101161.1	CP101161.1	3389	3269432	3269878	-1	C	K07065	uncharacterized protein								PIN domain [PF01850.24]					0
CP101161.1_CP101161.1_3390	CP101161.1	CP101161.1	3390	3269875	3270231	-1	D										FaeA-like protein [PF04703.15]					0
CP101161.1_CP101161.1_3391	CP101161.1	CP101161.1	3391	3270502	3271119	-1	E															0
